num,County,Population
1,Polk County,"467,711"
2,Linn County,"219,916"
3,Scott County,"172,126"
4,Johnson County,"144,251"
5,Black Hawk County,"133,455"
6,Woodbury County,"102,782"
7,Dubuque County,"97,125"
8,Story County,"96,021"
9,Pottawattamie County,"93,671"
10,Dallas County,"80,133"
11,Warren County,"48,626"
12,Clinton County,"47,768"
13,Cerro Gordo County,"43,017"
14,Muscatine County,"43,011"
15,Marshall County,"40,746"
16,Des Moines County,"40,055"
17,Webster County,"37,071"
18,Jasper County,"36,827"
19,Wapello County,"35,173"
20,Lee County,"35,089"
21,Sioux County,"34,937"
22,Marion County,"33,294"
23,Boone County,"26,643"
24,Benton County,"25,658"
25,Plymouth County,"24,800"
26,Bremer County,"24,722"
27,Mahaska County,"22,324"
28,Washington County,"22,247"
29,Buchanan County,"21,062"
30,Winneshiek County,"20,709"
31,Carroll County,"20,498"
32,Buena Vista County,"20,493"
33,Jones County,"20,466"
34,Fayette County,"20,257"
35,Henry County,"19,950"
36,Jackson County,"19,444"
37,Poweshiek County,"18,550"
38,Cedar County,"18,340"
39,Clayton County,"17,644"
40,Jefferson County,"17,555"
41,Delaware County,"17,403"
42,Hardin County,"17,367"
43,Tama County,"17,337"
44,Dickinson County,"17,111"
45,Crawford County,"17,094"
46,Clay County,"16,507"
47,Iowa County,"16,401"
48,Floyd County,"15,960"
49,Madison County,"15,753"
50,Page County,"15,527"
51,Hamilton County,"15,190"
52,Kossuth County,"15,165"
53,Butler County,"14,915"
54,Mills County,"14,844"
55,Harrison County,"14,265"
56,O'Brien County,"13,984"
57,Allamakee County,"13,886"
58,Cass County,"13,427"
59,Wright County,"12,773"
60,Appanoose County,"12,529"
61,Union County,"12,469"
62,Grundy County,"12,435"
63,Chickasaw County,"12,097"
64,Shelby County,"11,927"
65,Lyon County,"11,745"
66,Cherokee County,"11,574"
67,Louisa County,"11,185"
68,Hancock County,"10,974"
69,Mitchell County,"10,832"
70,Guthrie County,"10,676"
71,Winnebago County,"10,609"
72,Franklin County,"10,295"
73,Montgomery County,"10,234"
74,Keokuk County,"10,163"
75,Sac County,"10,021"
76,Calhoun County,"9,818"
77,Emmet County,"9,769"
78,Humboldt County,"9,555"
79,Howard County,"9,410"
80,Clarke County,"9,259"
81,Palo Alto County,"9,133"
82,Greene County,"9,027"
83,Monona County,"8,979"
84,Davis County,"8,769"
85,Lucas County,"8,682"
86,Decatur County,"8,220"
87,Monroe County,"7,973"
88,Worth County,"7,569"
89,Van Buren County,"7,344"
90,Adair County,"7,228"
91,Ida County,"7,028"
92,Pocahontas County,"7,008"
93,Fremont County,"6,906"
94,Wayne County,"6,385"
95,Taylor County,"6,205"
96,Osceola County,"6,154"
97,Audubon County,"5,773"
98,Ringgold County,"5,068"
99,Adams County,"3,796"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
