,restaurant,Type,Price,review,Rating,Star
0,Racines NY,French,4,"The American outpost of this popular Parisian original cuts an elegant figure, with its wide marble bar and pristine flower arrangements. Throw in romantic low lighting, brick-lined walls and a tony TriBeCa address-and you have quite the operation. The service can be a bit off-putting, which is a shame because Racines NY has an ace, even affordable, wine list that bears discussion and recommendations. As for the food, you'll pay for all that sexy ambience a little more than the cuisine currently merits-but certain dishes, like a rich chicken liver mousse served with grilled breads, make for an elegant bar snack. Paired with one of those excellent wines by the glass and a seat at that handsome bar, you have a recipe for a glam night on the town.",0,0
1,Little Park,American,2,"Chef/owner Andrew Carmellini strikes again, this time with an inviting all-day eatery on the ground floor of the Smyth Hotel. White tiled walls, amazing artwork, and lovely fresh flowers ensure that the well-designed dining room feels cheery and comfortable. Generous space between tables promises privacy. Local and seasonal ingredients dictate the menu, especially in the raw and cured section-Long Island fluke or Peconic Bay scallops are simple, fresh opening acts. Purple and orange carrots are roasted until tender, topped in crisp breadcrumbs, then beautifully plated with a tangy black garlic aïoli. A burgundy-hued beetroot risotto is studded with goat cheese. Brimming with cuttlefish, clams, and mussels, the spiced shellfish ragù is downright outstanding.",0,0
2,Blaue Gans,Austrian,2,"This sleek, unbridled Viennese-style café feels almost smoky and well-worn, but never out of touch. Its walls are papered with vintage movie posters, while banquettes and tables dominate the dining space. Blaue Gans' strong, loyal following (an increasingly rare feat in the city) is comprised of locals engaging in familiar banter at the bar or communal table. Everyone is here for the impressive Austrian cooking, which may unveil a beautiful bibb, pumpkin seed, and shaved radish salad with a light, creamy pumpkin oil dressing. Other classic treasures include pork Jäger schnitzel with mushrooms, bacon, and herbed spätzle; or classic kavalierspitz accompanied by salty creamed spinach and sweet-tart apple horseradish. Delish desserts will have you at hello.",0,0
3,Rosanjin,Japanese,4,"From its ultra-discrete entrance to its heavily curtained windows, everything about this elegant TriBeCa Japanese restaurant spells delicious rendezvous. Should you be lucky enough to find your way into Rosanjin's barely marked entrance, you'll discover a sleek, sophisticated and oh-so-private dining room with soft jazz music that reads tranquil even when it's full. Despite its tony address and well-heeled clientele, Rosanjin retains a sort of bonhomie from another era-it's not uncommon for the chef to hand-deliver a few of your dishes with a heartfelt thank you. It's a gesture of gratitude you're likely to return after witnessing the stunning composition on your plate. A typical kaiseki meal here would feature a bright selection of sushi, some of it scored to deliver that perfect melt-in-your-mouth experience; and might include a delicate (and dramatic) starter of lobster and uni, suspended in a jellied dashi broth and served in a glass with a wispy cloud of orange dry ice. Then, an excellent chawan mushi may follow, with salty caviar, tender oyster mushrooms, fresh uni, and chives; or a delicious clear soup with a scallop mousse dumpling, mountain yam, mountain greens, and ginger.",1,1
4,Brushstroke,Japanese,4,"The name may not give too much away but as soon as you enter you just know you're in a Japanese restaurant. It's probably all that calming wood-there's enough here of assorted hues and from various sources to excite the woodsman in us all. Or it could be the L-shaped counter behind which chefs go about their work with studied determination; or more probably, it's the sight of graciously polite servers carrying bowls, boards, and cups containing delicate dishes of infinite beauty. This joint venture between David Bouley and Yoshiki Tsuji aims to showcase the beauty, subtlety, harmony, and precision that is Japanese cuisine. This isn't the place for sushi-you go next door for that. Instead, it serves seasonally pertinent dishes that are a joy to behold, but where the art never comes at the expense of taste. The Washu beef sukiyaki, for example, has a wonderful depth of flavor. Desserts, such as sake crème brûlée, have more obvious European parentage but are still light, delicate creations. Indeed, such is the nature of the food here that one can, unlike with many styles of restaurant, still engage in constructive work afterwards.",1,1
5,Tiny's,American,2,"The name says it all-Tiny's is indeed tiny, but in that old New York, wood-burning fire and pressed-tin ceiling kind of way. Enter the narrow Federal-style home (c. 1810) and sidle up to the beautiful people along the pew seats overlooking a poster of the Marlboro Man, or head on to the aptly named Bar Upstairs. The food may be American but seamlessly weaves in Italian influences. Creamy burrata arrives over date purée, glazed in lemon-honey and sprinkled with crushed pistachios. Hake is thickly cut and enticingly flaky, drizzled in brown butter with tart capers, lemon, and parsley, then complemented with both pan-roasted fingerling potatoes and beautifully dressed frisée salad. Even their delicate California chardonnay harkens to old-world flavors.",0,0
6,The Odeon,American,3,"It's easy to see why The Odeon has been a part of the fabric of TriBeCa life for so long. Like watching a re-run of Seinfeld, it is reassuringly familiar, classically New York and, even when you know what's coming next, still eminently satisfying. The menu is a roll-call of everyone's favorites, from chicken paillard to beet salad, burgers to cheesecake. Cocktails are well made and beers carefully poured. Dishes are executed with sufficient care and portions are of manageable proportions. The room comes with an appealing art deco feel and the terrace at the front pulls in the occasional passer-by. Service is personable and willing too, although after all this time the place could probably run itself.",0,0
7,Marc Forgione,American,3,"This eponymous restaurant is dark, sexy, and attracts an endless stream of downtown denizens. Abundant candles produce more atmosphere than light for the rustic room clad in exposed brick and salvaged wood. Aloof servers dressed in black seem to disappear into the background. The innovative American fare excites with bold flavors, as in barbecued oysters sprinkled with pancetta powder. Montauk fluke en croute, set over roasted cauliflower, hazelnuts, and capers topped with a buttery panel of toast, is dressed with sauce proposal-so named because the rich brown butter and golden raisin emulsion is said to have earned the chef a few romantic offers. It is delicious, but Chef Forgione deserves equal affection for those amazing butter-glazed potato rolls.",0,0
8,atera,Contemporary,4,"Well, hello there, Ronny Emborg-this visionary new culinary talent takes the reigns at Jodi Richard's sleek TriBeCa tasting menu restaurant, atera-and the results are nothing short of sublime. Guests access atera by an ultra-discreet entrance; from there, a polished and attentive staff member might offer you a complimentary drink before whisking you off to a lovely, U-shaped counter with supple leather seats positioned to watch the kitchen execute its magic. Sound like a beautiful dream? It is wonderfully real, and that's before they ply you with their excellent wine pairing, cocktails or tea tasting (yes, tea-trust us, you'll be talking about it for days). Chef Emborg's Danish-accented menu might begin with an exquisite chilled green tomato soup with juniper oil, before proceeding to a buttery waffle with savory mushroom cream and earthy black truffle. Then, tender snow crab in an ethereal tomato broth with rose hip cream; or sweet scallop with crisp green apple, dill fronds and horseradish ice may be tailed by springy sepia plated with tart currants and laced with a deadly delicious hazelnut fish cream. Plump razor clams in a miso-brown butter broth are topped with bitter greens and foam for added flavor.",2,1
9,Ichimura,Japanese,4,"Tucked away in the bustling swirl of TriBeCa, Ichimura is an oasis of tranquility-with a bright, sun-drenched wood décor that effortlessly blends minimalist Japanese style with a modern sensibility. It's the perfect space to take a seat at the L-shaped counter, take a deep breath, and let go of that city angst. Then, give yourself over completely to the genius Chef Eiji Ichimura and his talented waitstaff. Throughout your omakase experience, Chef Ichimura always handles the service himself-first bending over his heart-stopping creations and shaping dishes with fingers as nimble as a cellist's, then delivering it with a gracious smile. Dinner might begin with the traditional zensai, or appetizer plate of cold bites; and then move on to dishes like a warm, excellent chawan mushi topped with Florida golden crab, truffle dashi, and confetti of chopped chives. A plate of superbly fresh and seasonal sashimi, some of it expertly cured or carrying a drop of delicious sauce, may be tailed by a mind-blowing parade of bright sushi that might include hiramasa, king mackerel, Japanese ocean trout, Flying fish, sea perch, or the creamiest ebi you've ever tasted, carrying a whisper of shiso and Japanese uni.",2,1
10,Khe-Yo,Asian,2,"This Laotian hot spot serves up vibrant family-style plates brimming with tart and spicy notes that pack a punch-make that a Bang Bang, actually, as in the house sauce of mixed chilies, cilantro, fish sauce, and garlic served to diners as a welcome along with a basket of sticky rice. The food is worth braving the wait and decibel levels, so sip a craft brew or cocktail before digging in. Start with a plate of wide rice noodles and bits of slow-cooked pork in a coconut-rich yellow curry garnished with herbs, bean sprouts, and slivered banana blossom. Banana leaf-steamed red snapper is another beautifully prepared item, served with crisped artichoke hearts, Chinese broccoli, and more of that sauce. Bright and bitter grapefruit sorbet is a fitting finish.",0,0
11,Bouley,French,4,"Even from the outside, Bouley hints at the certain level of luxury that every successful TriBeCa restaurant strives to attain. Here, it begins with an industrial façade, high arches, exposed brick, and oversized windows dressed in silk. Inside, hand-painted wallpaper, bold watercolors, and a generous floral budget make for an operatic setting reminiscent of a château-maybe the same one from which they salvaged the floors (literally). An undeniable formality keeps the varied clientele muted but never hushed. The ambience may seem a bit old school, yet the cooking mixes tradition with modernity. Meals may start with a fresh, earthy mix of wild mushrooms with sweet garlic, subtle seasoning, and grilled toro that brings unexpected dimension to the dish. Slightly smoky Alaskan salmon with corn sauce and hearts of palm is almost overshadowed by the superlative pomme purée that is buttery yet retains its pronounced potato flavor. But, remember to pace yourself as Bouley pushes one of the most serious carb chariots in town-think death by bread. Finish with an amaretto flan piped with white chocolate, caramelized banana, and silky-smooth maple and amaretto ice cream. It's delicious and never disappoints.",1,1
12,Landmarc,Mediterranean,2,"Chef/owner Marc Murphy's Landmarc is the TriBeCa destination for meeting friends over casual drinks and food that happens to be rib-sticking delicious. Downstairs, the bi-level space showcases thick steel cables suspending industrial art and a horseshoe bar flanking a large cooking fire that warms the soul and sizzles those lamb chops. The upstairs is more serene. Meals may start with lighter plates of smoky and blistered shishito peppers flecked with crunchy sea salt. Then, move on to deeply satisfying (and reasonably priced) nightly pasta specials, like thick and buttery spaghetti alla Bolognese. ""Landmarc classic"" cheese plates are a reliable highlight. Miniature desserts mean that there is always room for a lemon-custard tart (or four).",0,0
13,Zutto,Asian,2,"Exposed filament bulbs and a red brick wall give this cozy Japanese pub an inviting, industrial feel. There is a communal wood table for groups, small sushi bar, and long wall of banquettes and tables topped with linen napkins cleverly folded, origami-style. Service is eager, efficient, and less concerned with the flow of a leisurely meal. Unlike many Japanese restaurants with one specialty, this izakaya's diverse menu includes bar snacks, sushi, steamed buns, and ramen. Tangy, spicy buffalo cauliflower is a playful take on wings, replacing chicken with bright orange chunks of deep-fried cauliflower tempered by cool, creamy ranch sauce. The Zutto fried rice is another ideal drinking accompaniment, peppered with kimchi and pastrami beneath a runny egg.",0,0
14,Jungsik,Korean,4,"Cool, chic, and completely urbane, Jungsik is the epitome of contemporary elegance. Inside the large, neatly partitioned space, find rich browns and ivory furnishings with flattering lighting that is just bright enough to see your food clearly. The chairs are deep and tables are well spaced, but request a plush corner banquette for maximum comfort. Even the place settings show sculptural beauty through dark pottery and white porcelain. The ambience is fairly quiet and somewhat reflective. The modern cuisine is confident, complex, and happens to be leaning much more toward Europe than Korea of late. No matter-the cooking remains profoundly enjoyable. At the same time, the most inspired dishes are the ones that retain their heritage, as in the dome of seaweed-seasoned rice with cubes of smoked and torched yellowtail, finished with slivered lettuce. Before the crispy red snapper arrives at the table, hot oil is poured overtop to cook the fish but also to yield incredibly crisped skin, served with a brunoise of hearty greens and potatoes and rich perilla vinaigrette. Artful desserts include black raspberry and coconut sorbet with crumbles of spinach cake, yuzu meringue, and perfect berry slices.",2,1
15,Tamarind,Indian,3,"Building Tamarind cost a cool five million, and it shows-every inch of this soaring space oozes with grandeur. With its classic TriBeCa edifice and gorgeous marble bar (an ideal perch for post-work indulgence), the glass-fronted behemoth draws a posh crowd of Wall Streeters and well-heeled locals. Most impressive of all is the sleek display kitchen, outfitted with a gleaming tandoor that turns out exceptional Mughlai food like nawab shami kabab (lamb patties seasoned with ginger) and hara bhara kabab (pearl-white paneer mingled with bright emerald-green spinach). While service is mediocre at best and the kitchen may fall behind at peak times, mains like kolambi pola (prawns in a coconut-and-chili curry) make up for any gaffes and guarantee a return visit.",0,0
16,MarkJoseph,Steakhouse,3,"This smart and sleek steak haven continues to claim its rightful place among the faithful haunts of area residents, business types, and carnivores in town. Handsome in its dark wood-paneled glory, with a wine cellar display and white tablecloths, this traditional den exudes a clubby Wall Street scene. Expect to see a crowd of suits discussing stocks, shares, and sports scores, of course. The quality of USDA Prime beef is paramount here, but the culinary technique is just another reason why this steakhouse succeeds. Steaks are perfect medium rare, brushed with sweet melting fat, seasoned with salt, and perhaps served with a gravy boat of béarnaise sauce. Finish off with a classic slice of pecan pie topped with swirls of whipped cream.",0,0
17,Bâtard,Contemporary,3,"239 West Broadway will be a familiar address to those who know their restaurants as it has hosted a number of seminal establishments over the years-namely Montrachet and Corton. Drew Nieporent's Bâtard restaurant is now firmly in situ and once again we have a talented chef making waves in TriBeCa. Chef Markus Glocker's cooking is very precise and his dishes look quite delicate on the plate. But like a good featherweight they pack more of a punch than you're expecting. You'll even notice his Austrian roots in evidence in some of the dishes, such as short rib and tafelspitz terrine, or the Granny Smith and sweetbread strudel. The room is comfortable and neat and the atmosphere grown-up yet animated. When it comes to service though, it appears that the restaurant has mistaken informality for indifference as it lacks coordination or direction. So you may need to remind yourself that you're here primarily for the food. But that food is very good indeed.",1,1
18,Peking Duck House,Chinese,2,"It's worth your while to wend through Chinatown's teeming sidewalks to delight in the eponymous house specialty here. Once inside, however crowded, the neutral-toned interior adds a calming effect to the many tables gearing up for their bird's arrival, and the mode of transport is a linen-draped cart.The duck is deftly carved and dramatically served by the chef himself, so push in your chair and prepare for a festive DIY feast of warm, soft pancakes, cool cucumbers, scallions, and sweet hoisin. Although the duck is what makes this a destination, there are several other entrées like sizzling sliced beef with scallops; and live lobster with ginger and scallions. To begin, the clear golden broth of the duck wonton soup is an appropriate prelude to the main event.",0,0
19,North End Grill,American,3,"Its contemporary look features that same stunning combination of white umbrella-like fixtures, black-stained walls, and midnight blue banquettes. However, the reigning chef in the open kitchen reveals a menu shift towards grilled foods, updated comfort favorites, and charcuterie. Start with an artfully arranged terrine layering strips of pig's ear topped with green beans and mustard vinaigrette. The flavors of wood infuse every element of a thick, blistered pizza decked with potatoes, pancetta, sweet onions, and gently poached eggs. French sensibilities shine in the simply grilled Colorado lamb chops with ribbons of zucchini, baby leeks, and carrots. For dessert, the creamsicle pie bursts with the taste of candied orange, whipped cream, and childhood.",0,0
20,Tribeca Grill,Contemporary,3,"Beckoning business titans day and night, this corner restaurant is a destination for its big, bright dining room with well-spaced tables. Wall-to-wall windows overlook two quintessential TriBeCa streets, while exposed brick, moody artwork, and a spectacular bar smack in the center of the room complete the refined vibe. Gigantone, large tubular pasta loaded with a braised short rib Bolognese beneath a dollop of fresh sheep's milk ricotta, makes a rich start to a meal. The decadence continues with seared scallops over creamy carrot risotto, topped with a truffled-Madeira vinaigrette, and brought over the top with a few fragrant shavings of black truffle. Desserts are as classic as the space; try the banana tart with malted chocolate and pecan ice cream.",0,0
21,Nom Wah Tea Parlor,Chinese,1,"Even after a renovation, this ""parlor"" continues to thrive as a retro dive replete with truly awful service. But keep reading, because the supremely delicious food and unreal value more than make up for Nom Wah's many flaws.Dim sum is the main draw at this busy neighborhood diner, where small groups fill the dining counter and pack into pleather booths for the likes of pan-fried dumplings stuffed with ground pork and sweet shrimp. Scallion pancakes flaunt outstanding texture; fried shrimp wrapped in bean curd unites top product with heavenly flavor; and noodles sautéed with superior soy is a salt fiends dream. Bring hungry friends and expect lots of leftovers, because the simple pleasures here have been known to thrill even the most ardent epicurean.",0,0
22,Bo Ky,Chinese,1,"If you're drawn to those bare bones sort of places where food quality, beyond-warm service, and value speak for itself, this is your Chinatown slam dunk. Bo Ky's steamed-up windows (from the succulent meats roasting inside) are an invitation to come in and get cracking on a perfect bowl of wonton and noodle soup.Crispy skinned and exquisitely juicy chicken drizzled with dark soy and served beside chili-studded nuoc cham may be the closet local sib to the Hong Kong classic, presented here with a Vietnamese touch. Its textural interplay is as first-rate as the house specialty itself- a crispy fried shrimp-and-scallion roll wrapped in bean curd skin. Spice fiends can turn up the heat at home-their secret-recipe addictive sauces are for sale by the jar!",0,0
23,Thái Soŉ,Vietnamese,1,"Thái So'n is by far the best of the bunch in this Vietnamese quarter of Chinatown. It's neither massive nor fancy, but it's bright, clean, and perpetually in business. One peek at the specials on the walls (maybe golden-fried squid strewn with sea salt) will have you begging for a seat in the crammed room.Speedy servers scoot between groups of City Hall suits and Asian locals as they order the likes of cha gio, pork spring rolls with nuoc cham; or goi cuon, fantastic summer rolls filled with poached shrimp and vermicelli. Naturally, pho choices are abundant, but the real star of the show is pho tai-where raw beef shavings are cooked to tender perfection when combined with a scalding hot, savory broth replete with herbs, sprouts, and chewy noodles.",0,0
24,Macao Trading Co.,Asian,3,"Droves of curious downtowners continue their love affair with this cushy mainstay for Macanese cuisine. With nothing but a red light over a dark door to mark its entrance, make your way into this bi-level beauty, accoutered with heavy velvet drapes, double-height ceilings, and a dimly lit yet sexy bar. The mien is playful, buzz palpable, and first-rate drinks are flowing. Start with the Tuscan kale-and-romaine salad, enticingly smoky with texturally perfect potato ""croutons"" and paprika vinaigrette. Then, move on to a Taipa steamboat (cross between a Chinese hotpot and Portuguese paella) teeming with briny shellfish, fried chicken wings, and linguiça. Sample a slice of their chocolate diablo cake for an indulgent and notably decadent finish.",0,0
25,Xe Lua,Vietnamese,1,"Fantastic food is the sole focus of this Vietnamese dive. The décor-albeit stark-highlights a semi-tropical theme and the crowd might be touristy, but don't let that deter you as the food is wonderfully authentic and very reasonable.Condiments atop each table serve to enhance even the most humble goi cuon stuffed with grilled pork and vermicelli. Muc chien don is a plate of chewy, crisped squid tossed in salt, pepper, and tailed by cucumbers and red onion for ample tang; while the house special pho xe lua reveals a rich, savory broth full of noodles, brisket, and beef tendon. Combine this with sprouts, chilies, and herbs for a surefire delight.Enjoy dessert with a Vietnamese iced coffee that will give even your great-aunt Grace the shakes.",0,0
26,Locanda Verde,Italian,3,"This ever-trendy yet refined Italian ristorante is as much coveted for its gorgeous setting as its lineup of rustic, tasty fare. The ambience is always abuzz and everyone looks beautiful amid low lights, a long bar, and walls adorned with wine bottles. Breakfast verges on divine-think lemon pancakes and apple-cider donuts. Bare tables are packed throughout the day with a stylish crowd waxing poetic about crostini topped with blue crab and jalapeño. Also try terrific house-made pasta such as pappardelle with lamb Bolognese finished with a dollop of sheep's milk ricotta, or paccheri dressed in ""Sunday night ragù."" No one should leave without sampling superb sweets, like the apple and concord grape crostata with rosemary hazelnut brittle and brown butter gelato.",0,0
27,Dim Sum Go Go,Chinese,2,"This wildly popular dim sum joint is still packed to the gills most days, and for good reason: the Cantonese fare and dim sum served up at this bright, contemporary spot is as good as the food you'll find trekking out to those super-authentic places in far-flung Queens. Even better, they take reservations-and dim sum orders are taken by the staff as opposed to rolled around on the traditional cart, helping ensure the food stays super fresh.If the price seems a bit higher than its competitors, you'll find it's worth it for dishes like sweet shrimp, rolled in rice paper and laced with dark soy sauce; plump snow pea leaf dumplings spiked with vibrant ginger and garlic; rich, tender duck dumplings; or an irresistibly flaky baked roast pork pie.",0,0
28,Trading Post,American,2,"A reprieve from the neighborhood's many pubs and quick-serve joints, this popular restaurant occupies three floors of a historic building across from the Rockwell-designed Imagination Playground. Stylish and eclectic with a maritime theme, the massive space boasts a rollicking bar and whiskey cellar plus an upscale second floor with water views and an elegant library. The menu is just as wonderful and wide-ranging, with everything from flatbreads to skirt steak to lobster fried rice. Highlights include a healthy and delicious quinoa salad, studded with butternut squash, morsels of creamy feta, dried cranberries, and a drizzle of reduced balsamic vinegar. Jumbo shrimp plated with wilted kale, plump butter beans, and braised tomato is an impressive entrée.",0,0
29,A-Wah,Chinese,1,"An incredibly popular member of NYC's diverse culinary scene, simple, tiny, and singularly focused A-Wah fires up a vast array of Hong Kong-style comfort foods from ginger chicken feet to sautéed pea leaves. The region's tasty take on lo mein is a total departure from the familiar version. Here, find a platter of thin noodles topped with pork or duck, served with a side of delicate, consommé-like broth for dipping.However, the biggest treat is the fantastic bo zai fan: rice cooked to crunchy perfection in a clay pot and crowned with ginger, scallions, and a mind-boggling choice of seventeen toppings like frog, pork, and preserved vegetables. These dishes and their tasty burnt-rice sides are made even better with a thick and sweet house-made soy sauce.",0,0
30,Golden Unicorn,Chinese,2,"This age-old dim sum parlor, spread over many floors in an office building, is one of the few Cantonese spots that actually has the space and volume to necessitate its parade of steaming carts brimming with treats. While Golden Unicorn's system is very efficient and part of the spectacle, arrive early to nab a seat by the kitchen for better variety and hotter items.A helpful brigade of suited men and women roam the space to offer the likes of exquisitely soft roast pork buns, or congee with preserved egg and shredded pork. Buzzing with locals and visitors, it is also a favorite among families who appreciate the kid-friendly scene as much as the delectable, steamed pea shoot and shrimp dumplings, pork siu mai, and rice rolls stuffed with shrimp.",0,0
31,Great N.Y. Noodletown,Chinese,1,"When heading to Great N.Y. Noodletown, invite plenty of dining companions to share those heaping plates of roasted meats and rice and noodle soups served at this bargain favorite. Locals stream in until the 4:00 A.M. closing bell for their great Cantonese fare-food is clearly the focus here, over the brusque service and unfussy atmosphere. Guests' gazes quickly pass over the imitation wooden chairs to rest on the crispy skin of suckling pig and ducks hanging in the window.These dishes are huge, so forgo the rice and opt instead for deliciously chewy noodles and barbecue meats. Incredible shrimp wontons, so delicate and thin, and the complex, homemade e-fu noodles demonstrate technique and quality to a standout level that is rarely rivaled.",0,0
32,Oriental Garden,Chinese,2,"A daily destination for dim sum, Oriental Garden is a treasure among tourists, foodies, and wealthy Chinese residents. The place is known to get packed as crowds pour in for top-notch dumplings, whose prices seem to escalate with its popularity. So, be sure to reserve ahead for a seat in this group-friendly den, decked with kitschy fish tanks and food photo-covered menus boasting delicious dim sum.Set menus are widely appealing and have been known to unveil such tasty crowd-pleasers as steamed watercress and pork dumplings; crispy fried shrimp wontons; and crab claws. Equally worthy (read: safe) options include a duo of lettuce wraps with minced duck and pork served with hoisin; or one massive oyster cooked in its shell with classic black bean sauce.",0,0
33,New Malaysia,Malaysian,1,"Mad for Malaysian? Head to this lively dive, sequestered in a Chinatown arcade. Proffering some of the best Malaysian treats in town, including all the classics, New Malaysia sees a deluge of regulars who pour in for a massive offering of exceptional dishes. Round tables cram a room furnished with little more than a service counter. Still, the aromas wafting from flaky roti canai and Melaka crispy coconut shrimp keep you focused on the food.Capturing the essence of this region are brusque servers who speedily deliver abundant and authentic bowls of spicy-sour asam laksa fragrant with lemongrass; kang-kung belacan, greens with dried shrimp and chili; and nasi lemak, the national treasure starring coconut rice, chicken curry, and dried anchovies.",0,0
34,Il Cortile,Italian,2,"Beyond this quaint and charming façade lies one of Little Italy's famed mainstays, ever-popular with dreamy eyed dates seeking the stuff of Billy Joel lyrics. The expansive space does indeed suggest a nostalgic romance, with its series of Mediterranean-themed rooms, though the most celebrated is the pleasant garden atrium (il cortile is Italian for courtyard), with a glass-paneled ceiling and abundant greenery.A skilled line of chefs present a wide array of familiar starters and entrées, from eggplant rollatini to chicken Francese; as well as a range of pastas, such as spaghettini puttanesca or risotto con funghi. Several decades of sharing family recipes and bringing men to one bent knee continues to earn Il Cortile a longtime following.",0,0
35,Royal Seafood,Chinese,1,"Bright, chaotic, and jam-packed with a multi-generational Chinese crowd, this well-priced favorite has dim sum lovers lined up and waiting in droves. Dinnertime brings a quieter vibe, along with an extensive Cantonese menu. The sizable room is decked with round tables draped in pink linens and kitschy Chinese touches. This communal scene has friends and strangers alike dining side by side.Join the masses and feast on the likes of steamed dumplings, nicely crafted and filled with mushrooms, vegetables, ground pork and peanut, or seafood and greens. The shrimp wrapped in yellow bean curd skin are crisply fried, not at all greasy, and completely delicious. Pan-fried wontons are thin and delicate yet exploding with flavor from garlic and chives.",0,0
36,Grand Harmony,Chinese,1,"With every seat filled before noon and dim sum carts roaming the sea of famished diners, Grand Harmony's expansive but rather run-down hall echoes the commotion of Chinatown. Naturally, they must be doing something right, so snag a seat upon arrival and flag those nimble women as they direct their carts through the labyrinth of tables.Resting upon these coveted carts is a plethora of solid dim sum. Friendly servers parade the likes of beautifully crisp bean curd skin stuffed with vegetables, shrimp, and pork; congee studded with bits of dried fish and scallions; and juicy shrimp and chive dumplings all at an unbelievably good price. Leave room for what lies on the dessert cart, like fried sweet sesame balls or creamy coconut jelly to finish this feast.",0,0
37,Shanghai Heping,Chinese,2,"When faced with the long, no-frills menu, there should read a caution sign to not miss out on the crab and pork soup dumplings. The juicy filling and flavorful broth held in each delicate wrapper with soy-ginger seasoning explain the afternoon crowd lunching out of takeout boxes on the entrance in.Large bamboo steamer baskets line most tables, and the seared pan-fried pork dumplings are not to miss either. Cold appetizers shine like dark soy- and sugar-cooked bamboo shoots with wheat gluten; and thinly-sliced, earthy stir-fried eel with chives. There are larger, steaming hot plates to choose from like Shanghai rice cakes with beef. The sweet ""Eight Jewel Rice"" dessert matches a mound of sticky rice with red bean paste, red dates, and golden raisin ""jewels.""",0,0
38,Harry's Cafe & Steak,American,2,"Nestled beneath the historic Hanover building, Harry's presents two distinct experiences. The casual Cafe and bar stand at the entrance, packed wall to wall with Wall Street suits haunting their local watering hole. Dining here is both cozy and communal, in an atmosphere that promises a fun time. Harry's Steak sits behind the Cafe, with its own bar and a series of snug rooms for a more intimate evening. Begin with a classic starter, like mushrooms stuffed with sweet, succulent lobster; but everyone really comes for the steak. Here, a prime hanger steak is perfectly seared, juicy, and tender-impressive for this particular cut-served with homemade béarnaise. There is no room left for disappointment, but maybe enough for the pecan bread pudding.",0,0
39,Shanghai Café,Chinese,1,"This quirky café is a Chinatown stalwart. Busy booths line one wall, while big round tables are popular for gathering families. Note the dumpling station upfront, where agile chefs assemble these mouthwatering parcels.Regulars know to arrive early for lunch to make the most of their vast menu, appetizing to vegetarians and omnivores alike. Servers are remarkably capable, balancing trays of addictive steamed juicy buns and cold dried bean curd, or soft rice cakes stir-fried with chicken and shrimp. The ""queen"" mushroom is sized for a king; its thick slices cooked until tender and bathed in an umami-rich brown sauce. The salty pork slices and fresh, crunchy bamboo shoots arrive in a broth so nourishing that you will slurp to the last drop.",0,0
40,Parigot,French,2,"Parigot is a trés charming bistro on (now mega trendy) Grand Street. Owned and operated by Chef Michel Pombet and partner, Catherine Amsellem, the French cooking is classic yet fine-tuned for its downtown crowd. However, the warm, time-worn décor stays true to its roots. Tables are topped with paper and crayons to entertain the kids in tow.Service is adept, and locals seem to feel their joie de vivre as the place is always abuzz. The vast, straightforward, and hearty menu is an equal draw with exquisitely rich onion soup bobbing beneath sliced croûtes and melted cheese. The superb duck confit is set over a sautéed mushrooms, haricot verts, and salsify. Pâté is wonderously pork-y, rich, perfectly seasoned, and paired with grilled country bread.",0,0
41,Malaysian Kitchen,Malaysian,2,"New York Harbor views aren't always accompanied by delicious cooking, but this airy restaurant offers just that on one of the best promenades in Battery Park City. Walls of the dining room are draped with vivid scenes of life in Malaysia, while tables overlook the Statue of Liberty as well as boats that glide by on the Hudson River. Skip the fusion items and stick to the robust Malaysian specialties. Flavorful renditions of classics include nasi lemak with coconut-perfumed rice, and roti canai, a flaky, elastic, fluffy bread with potato and chicken curry for dipping. Fork-tender and sensationally thick beef rendang-simmered in coconut milk, lemongrass, lime leaves, and fermented fish sauce-is pure slow-cooked comfort, served with a hefty portion of rice on the side.",0,0
