,restaurant,type,price,rating,review,url
861,Viceroy of India,Cuisine Indian,From 13 USD    to 24 USD,Good standard.,"The periwinkle and lavender walls, sky-blue ceiling painted with clouds, and steely booths lining the spacious dining room at Viceroy of India keep things cool, letting the spice-inflected cuisine churned out by the kitchen provide the heat. White linen-draped tables as well as a full bar and wine list make this West Rogers Park retreat a regal choice. Though an à la carte menu is available for those who've got to get their fill of tandoori chicken, longtime patrons and lunch regulars make a beeline for the popular lunch buffet, stocked with North Indian standards like pakoras, samosas, saag paneer, chicken makhani, and goat curry. Complimentary naan is available by the basketful. The grab-and-go café next door lets passersby get their sweet fix.",https://www.viamichelin.com/web/Restaurant/Chicago-60659-Viceroy_of_India-281136-41102
1,Cochon Volant,Cuisine French,From 25 USD    to 49 USD,Good standard.,"Though it's attached to the Hyatt, Cochon Volant is quickly entrenching itself as a favorite with Loop locals and sightseers alike for its timeless warmth. Round bistro tables and bentwood chairs are clustered across the mosaic-tiled floor, while a broad, marble-topped bar is bustling with patrons from lunch to happy hour. French brasserie favorites dominate the menu, ranging from rustic French onion soup to lavish raw seafood plateaus. Steak frites are juicy and flavorsome with a tender prime cut of bavette, offered with five sauce options like a classic béarnaise or rich Roquefort. Breakfast is delicious, but for those who don't have time to sit and stay a while, the café and takeaway bakery lets commuters snag a pastry and coffee to go.",https://www.viamichelin.com/web/Restaurant/Chicago-60603-Cochon_Volant-471936-41102
2,Rosebud Prime,Cuisine Steakhouse,From 50 USD    to 74 USD,Very good standard.,"A member of Chicago's longstanding Rosebud Restaurants, this Loop darling plays the part of a throwback American steakhouse to the hilt. Crimson-hued, faux-alligator chairs and banquettes punctuate a sprawling wood-paneled dining room, where tuxedoed servers weave expertly among suited bankers. A winding staircase leads to a lofty mezzanine. Classic cuts and chops abound, but Rosebud Prime does all of its dishes with panache. Double-cut bone-in lamb chops sport a plump ribbon of fat encircling their delicate, rich centers. Two strips of grilled skirt steak remain juicy and tender, complemented by a pile of caramelized Bermuda onions; and rich beef and veal ragù makes penne Bolognese a lovely surprise, finished with a dollop of fresh ricotta.",https://www.viamichelin.com/web/Restaurant/Chicago-60603-Rosebud_Prime-281103-41102
3,Atwood,Cuisine Contemporary,From 25 USD    to 49 USD,Good standard.,"This corner restaurant's 19th century façade may be historic, but its soaring dining room is a strikingly modern vision of white marble-topped tables, glossy beveled subway tiles, and low-slung black leather chairs and banquettes. The crimson bar stools fill with patrons meeting for business and pleasure all week, while brunch gets the place buzzing on weekends. Atwood's brasserie menu isn't exactly full of surprises, but its familiar foods are given first-class upgrades-think pancetta-studded mac and cheese; lamb chops with basil and preserved lemon; and an omelet with crunchy bacon, creamy Brie, and verdant asparagus. For a real wake-up call, the Inferno Virgin Mary has more than enough of a kick (plus more of that bacon as a garnish).",https://www.viamichelin.com/web/Restaurant/Chicago-60602-Atwood-268972-41102
4,Prime & Provisions,Cuisine Steakhouse,From 50 USD    to 74 USD,Very good standard.,"Though it would also feel at home in Las Vegas, this glitzy oversized steakhouse fits right in with its swanky Chicago riverfront neighbors. The polished, masculine interior makes its priorities clear from the get-go, showcasing a two-story wine tower and a peek into the dry-aging room under bold barrel-vaulted ceilings and chandeliers. A starter of chewy rosemary-sea salt monkey bread whets the palate, while rosy pink slices of slow-roasted bone-in prime rib, rubbed with a crust of fragrant herbs, take a classic hoagie to new heights. When paired with house-cut fries and creamy horseradish dip, it's a meal to rival a Porterhouse, but save room for dessert: a single-serving banana cream pie with loads of whipped cream is a whimsical final bite.",https://www.viamichelin.com/web/Restaurant/Chicago-60601-Prime_Provisions-478764-41102
5,The Kitchen,Cuisine American,From 25 USD    to 49 USD,Good standard. Our best addresses.,"Panoramic views and eye-popping spaces are par for the course at most of the lofty spots abutting the Chicago River, but The Kitchen's farm-to-table food manages to steer the focus back to the plate. The restaurant's approachable, community-minded take on straightforward seasonal food-along with its impressive drinks program-makes it easy to please. Even if you're not attending a Monday ""Community Night"" dinner alongside many of the purveyors whose ingredients appear on the plate, you'll find a fresh, flavorful mix of dishes. Crushed white bean bruschetta is topped with a sprightly herb and frisée salad, which is in turn dressed with a blood orange vinaigrette. And wild Bristol Bay salmon is poached with care, its silkiness punctuated by garlic-chive aïoli.",https://www.viamichelin.com/web/Restaurant/Chicago-60654-The_Kitchen-474206-41102
6,Chicago Cut,Cuisine Steakhouse,From 50 USD    to 74 USD,Very good standard.,"Chicago Cut is a steakhouse perfectly suited for the City of the Big Shoulders. The finely tailored locale bustles day and night, thanks to being wrapped in windows along the riverfront, sumptuous red leather furnishings, warm wood trim, and a crackerjack service team cementing its steakhouse vibe. Non-meat entrées include cedar-planked salmon with a sriracha-honey glaze, but make no mistake: beef is boss here. Prime steaks, butchered and dry-aged in-house for 35 days, get just the right amount of time under the flame, as is the case with the perfectly cooked-to-order Porterhouse-pre-sliced and plated for each guest. Sides are a must and should include the dome of hashbrowns, creamed spinach redolent of nutmeg, or tender stalks of grilled asparagus.",https://www.viamichelin.com/web/Restaurant/Chicago-60654-Chicago_Cut-333098-41102
7,Remington's,Cuisine American,From 25 USD    to 49 USD,Good standard.,"This shiny gem arrives courtesy of the 4 Star Restaurant Group behind Crosby's Kitchen, Dunlay's, and Frasca. Guests can choose from a few great seating options in the enormous space: a table by the large windows up front, thrown open on temperate days for people-watching; the U-shaped bar, chockablock with televisions airing the latest games; or the intimate, glassed-in dining room lined with wine bottles at the back. The restaurant features an elevated roster of American classics including steaks, rotisserie chicken and seafood-not to mention a raw bar with Kansai-style box-pressed sushi. It's hard to go wrong here, but don't miss the No. 8 Tuna, which is a ruby-red slice of ahi wrapped in crispy nori and tempura, then paired with kimchi-studded rice.",https://www.viamichelin.com/web/Restaurant/Chicago-60602-Remington_s-478765-41102
8,Untitled Supper Club,Cuisine Contemporary,From 25 USD    to 49 USD,"Bib Gourmand: good quality, good value cooking.





Good standard.","An unmarked entrance leads the way to this sultry subterranean lair, its various rooms pumping out music and serving up handcrafted cocktails to a young, sexy clientele lounging in tufted leather banquettes. Lights are nice and sultry; tables are low-slung and casual; and there are no less than 507 whiskeys to choose from. A charcuterie board may offer up silky duck rillettes, shot through with foie gras; textured and spreadable liverwurst; as well as thin slices of prosciutto and coppa accompanied by a house-made mostarda. Overstuffed squash blossom rellenos are filled with creamy ricotta and served over Agave-spiked corn relish and chili-lime crema. Don't miss the scrumptious meatloaf sandwich, slathered with Korean-style ketchup, and laced with rosemary-infused aïoli.",https://www.viamichelin.com/web/Restaurant/Chicago-_-Untitled_Supper_Club-373580-41102
9,The Gage,Cuisine Gastropub,From 25 USD    to 49 USD,Good standard.,"For 10 years, this expansive, eclectic gastropub has catered to the Millennium Park crowds. Handsome banquettes and columns wrapped in celadon tiles lend a clubby allure, but the space's buzzy vibe never feels overwhelming. While a bar stretching half the length of the restaurant gets its fair share of happy-hour crowds, the rear dining rooms offer a more relaxed setting. Pub classics with flair define the menu, like malt-battered cod with creamy tartar sauce and parsley-dusted thick-cut fries-a solid rendition of fish and chips. Keep it light with crunchy watercress and sugar snap pea salad with house-made burrata, or go all out with a plate of chocolate-toffee cream puffs garnished with tender cocoa-dusted marshmallows.",https://www.viamichelin.com/web/Restaurant/Chicago-60603-The_Gage-289587-41102
