,restaurant,type,price,rating,review,url
0,Mela Tandoori Kitchen,Cuisine Indian,From 25 USD    to 49 USD,Good standard.,"If ""mela"" means ""fair"" in Hindi, then Tandoori Kitchen is aptly named. As fun and lively as a carnival, this welcoming spot sports brightly striped walls and colorful splashes of paint set aglow by stylish pendant lights. Its menu displays a vast litany of eats, and obliging servers are happy to lend a hand with useful recommendations. The overwhelming lunch buffet is a hit among office workers for hot, crispy samosas with sweet tamarind chutney, or fiery tandoori wings baked until smoky and juicy. The area takes a bit of a dive at sunset, but that doesn't curb this kitchen's appeal. Families keep coming to devour huge portions of aloo gobi in an onion-and-tomato masala along with intensely spicy lamb vindaloo-and inevitably leave toting leftovers.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Mela_Tandoori_Kitchen-369063-41102
1,Pläj,Cuisine Scandinavian,From 25 USD    to 49 USD,Good standard.,"NorCal is short on the Scandinavian-inspired fare that's all the rage right now, so it's no wonder why Bay Area foodies flock to this upscale spot. Steps from the opera, symphony, and ballet, Plaj has caught on like wildfire with the pre-theater crowd, who congregate at the linen-topped tables and cozy bar for a taste of Californian cuisine mingled with Nordic flair. Swedish-born Chef/owner Roberth Sundell offers smart riffs on classic dishes, from a tender duo of potato dumplings accented with brown butter, caramelized onions, and bacon to deep-red seared elk medallions set in a woodsy juniper jus and accented by tart lingonberries. For dessert, a parfait-like take on princess cake, with layers of raspberry, sponge cake, and marzipan, is worthy of royalty.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Plaj-372858-41102
2,Jardinière,Cuisine Californian,From 50 USD    to 74 USD,Very good standard.,"For a memorable night on the town, don your best dress, find a hand to hold, and head to this longtime favorite-tinged with a sense of bygone romance. Stop off at the circular bar and join the well-heeled couples sipping cocktails pre- or post-opera. Prime seats on the upstairs balcony overlook the bustling lower level, and stunning arched windows show off views of the street. Approachable, seasonal dishes abound on Jardinière's menu, from tender tajarin pasta with morel mushrooms and butter to a Mediterranean-inspired duo of lamb belly and shoulder with fresh fava beans and smoked yogurt sauce. Indecisive sweet tooths will thrill to the bonne bouche, an array of candies, cookies, small cakes, and profiteroles that makes a striking conclusion.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94101-Jardiniere-121888-41102
3,Brenda's,Cuisine Southern,From 25 USD    to 49 USD,Simple standard.,"Big portions and even bigger flavors are the draw at this taste of New Orleans, helmed by Louisiana-bred Chef/owner Brenda Buenviaje. Chicken étouffée offers a smoky, dark roux packed with vegetables, while a flawless muffuletta is packed with savory meat, provolone, and spicy olive salad (it's great with an ice-cold Abita beer). Sweet and salty golden beignets, filled with cheesy crawfish or molten Ghirardelli chocolate, could be a meal on their own. The Tenderloin address is rough around the edges, but Brenda's interior is quite lovely, with a light-filled dining room, bright murals, and high ceilings. Count on a wait here now that the secret is out, particularly at lunch and brunch. Or, check out the equally delicious sequel, Brenda's Meat & Three.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Brenda_s-436461-41102
4,Boxing Room,Cuisine Southern,From 25 USD    to 49 USD,Good standard.,"A trip to the real-life Big Easy may be short on veggies (unless fried okra counts), but northern California balances the Cajun and Creole indulgences on offer at this lively restaurant, leading to dishes like a spicy-sweet fig and arugula salad with spiced pecans and pan-seared goat cheese. Casual and sleek, it draws business types for lunch and happy hour, when they cluster around the oyster bar with beers and boiled peanuts. All the classics can be found here including gumbo, fried alligator, and a perfect jambalaya studded with spicy andouille and tender roasted duck. The simple and high-ceilinged dining room encourages lingering-as does the airy angel-food ""strawberry shortcake"" with lemon verbena ice cream and tangy whipped yogurt.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Boxing_Room-338320-41102
5,Absinthe,Cuisine Mediterranean,From 50 USD    to 74 USD,Good standard.,"The original colonist of Hayes Valley's now-bustling restaurant row, this ""green fairy"" still has plenty of sparkle, thanks to its timeless brasserie atmosphere and classic French- and Mediterranean-inspired menu. Even a lowly chicken breast gets the magic treatment here, with crunchy skin, perfectly wilted lacinato kale, and swirls of luscious Bourbon-yam purée. The same goes for a little gem lettuce salad with fine herbs dressed in a red wine-shallot vinaigrette. Perched between formal and casual, the restaurant draws relaxed alfresco lunchers with dogs by day and stylish symphony or opera patrons by night. In either incarnation, it's a lovely place for a cocktail-a few may earn you a wink from those fairies, flitting across the dining room mural.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Absinthe-121884-41102
6,Monsieur Benjamin,Cuisine French,From 50 USD    to 74 USD,Good standard.,"Chef Corey Lee's take on timeless bistro cuisine is as sleek and striking as the space it's served in. Fit for the cover of a magazine, this black-and-white dining room's minimalist, yet intimate décor is trumped only by its piece de resistance: an exhibition kitchen where you'll find the meticulous brigade of cooks hard at work, producing impressively authentic French food. Begin with the pâté de Campagne, enhanced with liver and shallots and presented with strong mustard, cornichons, and country bread. The Arctic char amandine is excellent, dressed with fragrant beurre noisette and served over a bed of crispy haricot verts and sunchoke. For a sweet and fruity finish, purists will delight in the dessert menu's crêpe façon gâteau.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Monsieur_Benjamin-445370-41102
7,Alta CA,Cuisine Californian,From 25 USD    to 49 USD,Good standard.,"Though this hip techie gathering place is relaxed at lunch-it wouldn't be uncommon to see diners pecking away at their laptops-it's the place to be after work. There, in the shadow of the Twitter building across the street and beneath a massive floor-to-ceiling shelf loaded with bottles, sharply attired CEOs and hoodied engineers congregate for cocktails at the triangular bar. The Eastern European-influenced menu kicks off with drinking snacks like wispy, savory beef tendon puffs, then moves into hearty plates like pierogies, beef stroganoff, and house-cured pastrami stuffed inside soft, chewy bialys. And when it comes to dessert, even the most plugged-in programmers will put away their iPhones for a bite of the creamy lemon and poppy seed sundae.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Alta_CA-436460-41102
8,Rusty's Southern,Cuisine Southern,From 25 USD    to 49 USD,Simple standard.,"In the hard-charging techie wilds of San Francisco, homesick transplants can find Southern comfort at this Tenderloin newbie, which eschews fine-dining frills for rib-sticking simplicity. Its environs are a bit sketchy after dark, but that doesn't deter the young and stylish crowds, who swill craft beers at the front bar and congregate in groups in the casual, wood-accented dining room. Rustic and homey treats arrive in abundant portions: tangy, smoky Brunswick stew is loaded with pork, chicken, collards, lima beans and tomatoes, while expertly brined fried chicken is encased in a crunchy, golden-brown breading. For a snack, the fluffy fried hush puppies come equipped with a decadent pimento-ranch dipping sauce, and pair nicely with an icy sweet tea.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94109-Rusty_s_Southern-471901-41102
9,Rich Table,Cuisine Contemporary,From 25 USD    to 49 USD,"Bib Gourmand: good quality, good value cooking.





Good standard.","Its rustic-chic décor, highlighting reclaimed and raw wood, gives Rich Table a farmhouse feel, and the crowds that pack it are equally shabby-sleek. Reserve early or expect a long wait, as there's serious competition for seats that quickly fill with young professionals in designer casualwear. The contemporary American food from Chef/owners Evan and Sarah Rich is highly engaging with menu mainstays like crispy sardine chips and porcini-salted doughnuts set alongside a warm raclette dip. Snap peas are arranged beside grapefruit segments, pecans, and nasturtium blossoms; while seasonal mains include a tangy strawberry gazpacho topped with crunchy chicken skin and burrata. Also irresistable is a smoky pork chop posed atop wheat berries and pork-garum jus.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Rich_Table-401078-41102
10,Domo,Cuisine Japanese,From 25 USD    to 49 USD,Simple standard.,"This Hayes Valley sushi joint is roughly the size of a shoebox, with only a dozen stools and a pair of sidewalk tables to choose from. Reservations aren't accepted, which means there's almost always a wait (make the most of it by perusing the daily specials on the mirror). Once seated, you'll likely have a few hungry diners eyeing your spot, so don't bring a group or plan to linger. For your trouble, you'll be rewarded with straightforward, high-quality sushi, whether you opt for simply prepared salmon and albacore nigiri (with well-seasoned rice) or the elaborate Domo roll, a baked California version with salmon, scallops, mayo, unagi glaze, tobiko, and scallions. To spice things up, try the lemon juice- and jalapeño-spiked hamachi maki.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Domo-233156-41102
11,Huxley,Cuisine American,From 25 USD    to 49 USD,Simple standard.,"Tattooed industry types can't get enough of this itsy-bitsy Tenderloin bistro, where the industrious young chef prepares every plate herself in the slip of a kitchen. With its warm wood surfaces, art deco accents, and vintage etched mirrors, it's an engaging place to pull up a counter seat-you'll feel like she's cooking just for you. The menu is all about high-quality American comfort fare, like avocado toast with a creamy uni mousse and umami-rich nori powder; tender, caramelized pork belly tossed with sprouted lentils and pea tendrils; and a superb chicken pot pie, its flaky, buttery crust infused with black pepper. Desserts are limited, but a simple buttermilk-vanilla ice cream with caramelized honeycomb candy hits all the right notes.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94109-Huxley-471904-41102
12,Tadu,Cuisine Ethiopian,From 13 USD    to 24 USD,Simple standard.,"Strength in numbers is the way to go when planning a visit to this charming Ethiopian newcomer: its neighborhood is one in which you won't want to walk alone, and besides, you'll need all the help you can get to tackle the hearty portions, all served family-style here. Despite its bleak environs, Tadu's cheerful décor and friendly, engaging staff make for a very warm welcome. Rev up your palate with the spicy, golden-brown sambussas, filled with earthy lentils and caramelized onions. Then go full-throttle with the kitfo, a zippy mixture of ground beef, onion, jalapeño, and Ethiopian spices. There's plenty of fluffy, slightly sour injera to mellow the burn: you can even enjoy it cooked with spices and vegetables in the delightful firfir.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94102-Tadu-471902-41102
13,Zuni Café,Cuisine Mediterranean,From 25 USD    to 49 USD,Good standard.,"Over thirty years young and still thriving as if it were newborn, locals and visitors remain drawn to this SF institution, famous for its laid-back California vibe and great, locally sourced eats. This iconic space embraces its unique shape, and is styled with bold artwork-covered walls, a copper bar counter, and wood-burning oven sending out delightful pizzas and filling the room with mouthwatering aromas. Given its ace location, Zuni makes for a divine lunch destination-and proof is in the many business folk, trendy ladies-who-lunch, and tourists that fill its tables midday. Menu treasures include sliced persimmon scattered with shaved Jerusalem artichoke and baby arugula leaves, tailed by toothsome artisanal rigatoni clutching fragrant lamb sugo.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94101-Zuni_Cafe-121890-41102
14,Tycoon,Cuisine Thai,From 13 USD    to 24 USD,Simple standard.,"Its location in the gritty Tenderloin doesn't offer much in terms of ambience, but this Thai newcomer makes up for it with flavorful, fragrant cooking that's a cut above the standard pad Thai racket. You'll swoon for the utterly perfect sai ua, juicy, smoky pork sausages bursting with the aromas of makrut lime, lemongrass, and chili, and the delectable pad ped, a spicy coconut-milk curry loaded with piquant green peppercorns, tender tofu, eggplant, and bell pepper. For true culinary adventurers, there's a small selection of Laotian dishes, like pad mee lao or thin rice noodles with chicken, fresh mint, and a splash of earthy black bean sauce. Also notable is the unusual and authentic drink selection, which includes vibrant pandan and chrysanthemum juices.",https://www.viamichelin.com/web/Restaurant/San_Francisco-94109-Tycoon-471903-41102
