,restaurant,type,price,review,url
0,Fiola Mare,"Italian, Seafood",$$$$,"With Fabio Trabocchi’s ascent to the top spot on our list—almost a decade after he wowed us with the late Maestro—it seems an apt time to retire the standard description of Fiola Mare as Italian. It’s not. It’s Trabocchian. The chef, now in his forties, has evolved a style all his own, one informed by his food-rich upbringing in Italy’s Marche region but not beholden to it—a style that embraces influences from France, Japan, and America. No chef in our area is cooking with more subtlety or power or with more expressive range. Take his filet of poached cod, paired with puréed artichoke and chickpea crema—it’s a trio that feels both unexpected and inevitably right. Or his Japanese madai tartare, with its perfect embellishment of grapefruit and paddlefish roe. This is a luxury restaurant, and it’s extravagantly expensive. But the quality of the fish is extraordinary (on par with New York City’s Le Bernardin), and no restaurant in the area will spoil you more.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-fiola-mare
1,Komi,"Mediterranean, Modern",$$$$,"How a room of such quiet minimalism can feel so warm and embracing is among the dining scene’s enduring mysteries. But that’s Komi’s magic, no tricks required. The seeming effortlessness of the pacing is a credit to one of the region’s best staffs, a group of earnest folks expert in reading tables and moods, who don’t merely keep the water glasses filled but—corny as it sounds—endeavor to make memories. Johnny Monis’s cooking—nominally Mediterranean but drawing on a range of global influences—never fails to surprise, and not just because the absence of a menu keeps you from knowing what’s coming. The night starts with a procession of bites that eschew cleverness in favor of flavors that are pure and clear—none so memorable, perhaps, as a date stuffed with mascarpone and roasted until it takes on the umami richness of foie gras. From there, it’s on to hand-rolled pastas, then a lusty portion of, among others, crisp-skinned goat or baby pig, meant to summon a communal feast along the Mediterranean coast. Desserts, a weak link in the past, have improved and provide a fittingly glorious finish.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-komi
2,Little Serow,Thai,$$$,"If you’ve been to Johnny Monis and Anne Marler’s English basement turned Thai restaurant in the last couple of years, you’ll likely be familiar with many of the plates on the seven-dish family-style menu. But like a band deep into its tour, the set list has become tighter and the chords more masterful, even if the songs are well known. The fabled fieriness has been finely tuned, too. Rather than making diners beg for palate-soothing glasses of full-fat milk from the start, the spicing now slowly builds, crescendoes (with a sweat-inducing tofu salad), then abates with a plate of mild pork ribs marinated with Mekong whiskey and strewn with dill. The servers, all got up in oxford shoes and dresses that could be called schoolmarm-chic, possess a genuine warmth and excitement—they seem as in love with the place as we are.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-little-serow
3,Convivial,"American, French",$$,"It’s not as if Cedric Maupillier were an unknown—his creativity and skill have been on vivid display at Mintwood Place for years—but with his first restaurant as both owner and chef, he’s a chef unleashed. A protégé of Michel Richard, Maupillier sometimes channels his mentor’s wit and precision: Witness his fried-chicken coq au vin, which combines the rustic depth of the French country staple with the supernal crunch of the Korean shop Bonchon. There’s reverence, too, for tradition, and the menu, more French than American, abounds in the kind of patiently developed flavors you might not find so easily in Paris these days. Maupillier’s ravioli is one example: filled with an earthy boudin noir and paired with both a chestnut purée and a mushroom fricassee. Like many dishes on the menu, it was conceived with wine in mind, the flavors intensifying further with a sip of Syrah or Bordeaux. Justin Guthrie’s list contains a number of good ones, and also some bargains. Convivial itself deserves credit for being such a value—it could easily charge more for cooking of this excitement and quality. That it chooses to be accessible just makes it that much more lovable.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-convivial
4,Rasika and Rasika West End,Indian,$$,"Restaurateur Ashok Bajaj and chef Vikram Sunderam have been repeatedly solicited to bring Rasika to New York and other dining-destination cities. Though Bajaj has no plans to expand outside of DC—he prefers to make daily rounds to his eight restaurants—it’s a testament to how special the Indian restaurant remains ten years into existence, not only in Washington but also on a national stage. Sunderam, who garnered his first James Beard Award in 2014 for best chef in the Mid-Atlantic, continues to helm the kitchens of the Penn Quarter original and younger West End sibling with a consistency and creativity that are rare. (Picking between the two is mostly a preference of neighborhood, though we’re partial to the original’s recently refreshed design.) His menu mixes traditional tandoori meats and curries with such inventive creations as snapper over creamy coconut noodles or braised lobster in a dough-encrusted vessel. Knowledgeable sommeliers are quick to recommend spice-friendly wines.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-rasika-rasika-west-end/
5,Plume,American,$$$$,"It’s not just the sumptuous elegance of the space that envelops you in a fantasy. It’s all the many appurtenances that reinforce the air of tasteful luxury—the upholstered stools for purses, the thick linen napkins, the silver domes to keep plates hot, the elaborate amuse-bouche to start, the petits fours to finish. The cooking, under the direction of Ralf Schlegel, avoids the pothole that fine dining at the highest levels is surprisingly prone to: the tendency to deliver technically perfect but soulless food. Schlegel brings imagination as well as rigor, most notably in a preparation of salmon poached tableside in liquefied beeswax (the filet emerges as succulent as a piece of chu-toro), and his more classical treatments (a seared breast of duck or loin of venison) sing with the quality of his saucing. The sommelier, Jennifer Knowles, is your ally—capable, with one daring wine pairing, of turning a very good dish into something magical.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-plume
6,Bad Saint,Filipino,$$,"Yes, another DC restaurant where you have to show up, put your name on a list, and wait. And what do you wait for? Not a table, most likely. (Most of the 24 seats are stools.) Here’s why it’s worth the hassle: because this nouveau Filipino kitchen is cranking out some of the most exhilarating, interesting dishes in all of Washington. You can smell the garlic and vinegar hitting the wok from down the block. If your experience of Filipino food is limited to tastes of sisig and adobo, you’re in for an awakening. But even if you’re well acquainted with the cuisine, you may be in for one, too. Witness chef Tom Cunanan’s shrimp-and-sweet-potato fritter, teased into an unruly mass that calls to mind Questlove’s spiky fro—the crunch is glorious. Likewise, he transforms a workmanlike breakfast of meat, egg, and garlicky rice into a composed dinner plate of unexpected intricacy and balance. Note to our fellow over-35s: You might not fit in among all the cool kids here, but co-owner Genevieve Villamora and her staff will see to it that you’re made to feel like family.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-bad-saint
7,The Inn at Little Washington,"American, Modern",$$$$,"Turning the big 4-0? Celebrating an anniversary? There are few more over-the-top occasion markers in the country than Patrick O’Connell’s baroque Rappahannock County getaway. The grande-dame decor, with its mauve silk lampshades and tapestries, isn’t for every taste, but the place somehow doesn’t feel stuffy. Credit O’Connell’s seamless fusion of folksy and fancy. Each of the three five-course menus—one seasonal, one vegetarian, one comprising the kitchen’s classics (you can mix them up)—kick off with an array of perfect amuse-bouches, including a shot of red-pepper soup, one of the best bisques we’ve tasted, and a tiny potato chip stuffed with pimiento cheese. (One thing we’d avoid: having them with the bill-jacking cocktails, which include an unfortunate $25 mix of Champagne and root-beer-flavored liqueur.) What’s that mooing sound? That would be Faira, a cow/cheese cart that makes the whole place break out in laughs every time she rolls in.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-the-inn-at-little-washington
8,Casa Luca,Italian,$$$,"This was supposed to be Fabio Trabocchi’s simplest, most accessible restaurant. Oh, some dishes are served family-style and meant to evoke the Italian countryside, and nearly every one is carried off with a minimum of fuss. But there’s a rigor and a passion that lift the place above a casual trattoria. The fish has always shone here—don’t miss one of the area’s best tuna tartares—but lately the strength of the pastas (including a beet-stuffed casonsei and a spinach pappardelle) have been making it difficult to decide what to order. The quality of the cooking alone would be enough to earn the place a spot on the list. But add in a savvy staff, a sinuous soundtrack of Sinatra and other oldies, and a crackerjack wine list, and you have what the place was never intended to be: a culinary statement.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-casa-luca
9,Izakaya Seki,Japanese,$$,"The Japanese izakaya trend has taken off in Washington, but there’s nothing scene-seeking about this spare gem. Father/daughter team Hiroshi and Cizuka Seki quietly conduct one of the most impressive dining experiences in town. He stays behind the kitchen counter—among the best seats in the bilevel house—while she roams the dining rooms, often guiding guests to the best sake and soju pairings. Part of the thrill arrives with the illustrated specials menu, which lists assortments of sashimi flown in from Japan and might include fried or grilled delicacies such as custardy barbecue eel. That’s not to say you should disregard the regular menu, which highlights dishes Hiroshi has honed to perfection—the scallop carpaccio remains one of our favorite bites anywhere.",https://www.washingtonian.com/food/restaurantreviews/100-very-best-restaurant-2016-izakaya-seki
